Date;Close;CONSEBIT;ANRATING;USD;COPPER;USLVSAAR;TOLLROADJAP;TOLLROADGER;CIVILAVCHINA;AIRCRAFTHOURSUS;ISM;IFO;10yInterestRateUS;10yInterestRateEURO;HEAVYTRUCKSALES
2009-12-31;37.2;-1366.0;1.8;0.697;3.347;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-01;37.2;-1366.0;1.8;0.697;3.347;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-02;37.2;-1366.0;1.8;0.697;3.347;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-03;37.2;-1366.0;1.8;0.697;3.347;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-04;37.6;-1366.0;1.8;0.693;3.406;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-05;37.2;-1366.0;1.8;0.694;3.414;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-06;37.3;-1366.0;1.8;0.695;3.495;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-07;36.7;-1366.0;1.8;0.698;3.427;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-08;36.9;-1366.0;1.8;0.698;3.401;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-09;36.9;-1366.0;1.8;0.698;3.401;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-10;36.9;-1366.0;1.8;0.698;3.401;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-11;37.2;-1365.9;1.8;0.687;3.441;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-12;36.3;-1365.9;1.8;0.688;3.350;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-13;36.2;-1364.1;1.8;0.689;3.400;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-14;37.1;-1337.5;1.8;0.691;3.388;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-15;36.5;-1328.4;1.8;0.696;3.366;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-16;36.5;-1328.4;1.8;0.696;3.366;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-17;36.5;-1328.4;1.8;0.696;3.366;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-18;37.1;-1328.4;1.8;0.695;3.366;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-19;36.7;-1328.4;1.8;0.700;3.447;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-20;35.6;-1328.4;1.8;0.708;3.355;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-21;34.8;-1324.3;1.8;0.711;3.295;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-22;34.2;-1324.3;1.8;0.708;3.347;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-23;34.2;-1324.3;1.8;0.708;3.347;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-24;34.2;-1324.3;1.8;0.708;3.347;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-25;33.5;-1324.3;1.8;0.706;3.393;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-26;33.9;-1324.3;1.8;0.711;3.340;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-27;32.9;-1319.2;1.8;0.712;3.223;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-28;32.3;-1311.8;1.8;0.716;3.098;11.28401453;101.8;1842172;18.746;1364105;55.3;89.87869;6;5.2;79.7
2010-01-29;33.4;-1386.9;1.8;0.719;3.053;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-01-30;33.4;-1386.9;1.8;0.719;3.053;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-01-31;33.4;-1386.9;1.8;0.719;3.053;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-01;33.6;-1412.0;1.7;0.720;3.084;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-02;33.8;-1412.0;1.7;0.717;3.090;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-03;34.3;-1407.9;1.7;0.719;2.974;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-04;33.1;-1388.9;1.6;0.726;2.879;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-05;32.3;-1385.3;1.6;0.732;2.858;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-06;32.3;-1385.3;1.6;0.732;2.858;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-07;32.3;-1385.3;1.6;0.732;2.858;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-08;33.3;-1385.3;1.6;0.730;2.913;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-09;33.3;-1385.3;1.6;0.728;2.987;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-10;33.6;-1361.7;1.6;0.730;2.989;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-11;32.8;-1348.0;1.6;0.735;3.134;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-12;32.5;-1326.4;1.6;0.735;3.083;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-13;32.5;-1326.4;1.6;0.735;3.083;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-14;32.5;-1326.4;1.6;0.735;3.083;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-15;32.0;-1328.7;1.6;0.736;3.083;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-16;32.6;-1316.8;1.6;0.730;3.222;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-17;33.0;-1325.8;1.7;0.732;3.240;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-18;31.5;2743.5;1.7;0.734;3.286;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-19;32.3;2749.3;1.7;0.740;3.357;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-20;32.3;2749.3;1.7;0.740;3.357;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-21;32.3;2749.3;1.7;0.740;3.357;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-22;31.4;2698.4;1.7;0.736;3.307;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
2010-02-23;31.3;2724.0;1.7;0.737;3.216;10.89283594;101.9;1818737;19.409;1350812;57.2;90.78003;6;5.2;80.2
